Type,Name,PN URL,CA25 URL
Deployment,Crucible of Battle,http://cloud-3.steamusercontent.com/ugc/2448349581367016957/DFC5862FC24035F8E724C3B415E663A77EDFE38C/,https://steamusercontent-a.akamaihd.net/ugc/10769322532649314100/3AFCEA3B7F66D11631E83CBF5A620452B19A9506/
Deployment,Dawn of War,http://cloud-3.steamusercontent.com/ugc/2448349581367022623/F3FC58294BF376AFB557F1E0C6D4FA593BDAD430/,https://steamusercontent-a.akamaihd.net/ugc/10964109328541731437/C85CC8E71911BA122552F81E10C99E398529C175/
Deployment,Hammer and Anvil,http://cloud-3.steamusercontent.com/ugc/2448349581367025692/DD08EE969F9575ED4DD2AAFC78958F90F8795DC9/,https://steamusercontent-a.akamaihd.net/ugc/18125428802654548409/CE8A79400806E2D4EB98121EFB239668E4203A82/
Deployment,Search and Destroy,http://cloud-3.steamusercontent.com/ugc/2448349581367027211/2EE3AA9EDEEE62901467A7B082C87B1A1632474A/,https://steamusercontent-a.akamaihd.net/ugc/17982930976953748535/EE0E25F3511D39B01B3480FB3E4829F33035AAC3/
Deployment,Sweeping Engagement,http://cloud-3.steamusercontent.com/ugc/2448349581367029764/3747D3A57FA68F6D6BB774A94B25783242936EBB/,https://steamusercontent-a.akamaihd.net/ugc/11847882082640266734/C9E353F00C3EA2B6EDC2D553AD28E3BD93DA76E4/
Deployment,Tipping Point,http://cloud-3.steamusercontent.com/ugc/2448349581367032337/3FEB7ACE741582E79A77D2B473B991CC5F805245/,https://steamusercontent-a.akamaihd.net/ugc/12662097510323498824/9DD8154EA15FBF136036DA5552C077E95E62EA1A/
Challenger,Attrition / Pivotal Moment,,https://steamusercontent-a.akamaihd.net/ugc/12081677467313983430/16A1A82216C77E13A1808D0269DCAD2649A21ABA/
Challenger,Dug In / Harboured Power,,https://steamusercontent-a.akamaihd.net/ugc/14681258375838954775/405451A9CDCFC00B998FD77E594624E4ED09A649/
Challenger,Establish Comms / Renewed Focus,,https://steamusercontent-a.akamaihd.net/ugc/18293071130685125093/D081CF182FDE5ABE59EF38426F37A0F66755BFB9/
Challenger,Focused Effort / Burst of Speed,,https://steamusercontent-a.akamaihd.net/ugc/9888695507172551139/90B7A49CAA7D7E0DC3800423C7516A6261BD6006/
Challenger,Over The Line / Great Haste,,https://steamusercontent-a.akamaihd.net/ugc/13032538003809746641/DAC4E9CD1BC211596B907F5136CBA9D09673238F/
Challenger,Secure Extraction Zone / Force A Breach,,https://steamusercontent-a.akamaihd.net/ugc/10890629356096358863/5118E89AED266735C3D7F17F215A759E2CBBC0C6/
Challenger,Self Preservation / All In,,https://steamusercontent-a.akamaihd.net/ugc/18120992562039699620/A9D8BE4E1A262FA1FB2C00975DE8AA26181EE05D/
Challenger,Sow Chaos / Opportunistic Strike,,https://steamusercontent-a.akamaihd.net/ugc/15767224016844861850/4A089C7BCF43DBC420ABFF4140C3CCB76444BBF8/
Challenger,Zone Defence / Strategic Retreat,,https://steamusercontent-a.akamaihd.net/ugc/14743855819397496673/27C018FF50D23F1FE8C4A6F61610461CBC15B135/
Primary,Burden Of Trust,http://cloud-3.steamusercontent.com/ugc/2448349581367130774/4AA2CAC6A009E5EB3BE91A8E9387BD0217C8D96C/,https://steamusercontent-a.akamaihd.net/ugc/12149867986627686319/E0DFC312F785EB48A846EE683F9AE62DD63A6F57/
Primary,Hidden Supplies,,https://steamusercontent-a.akamaihd.net/ugc/12186530208390897102/DDC62379A172CB5A3A7157A069035BE92DDC8582/
Primary,Linchpin,http://cloud-3.steamusercontent.com/ugc/2448349581367133172/75726F9918C411B0F8B29FDBA9455CF43C676238/,https://steamusercontent-a.akamaihd.net/ugc/9862748901361883298/2407D615F4A76A3845DE3E15D1813D35D10DE59B/
Primary,Purge The Foe,http://cloud-3.steamusercontent.com/ugc/2448349581367134801/EEA38342777D25CCF72031D3D2946598AF998918/,https://steamusercontent-a.akamaihd.net/ugc/14899737739543793918/4D7BDA6FCFD26971B09421187DAF57D986
Primary,Scorched Earth,http://cloud-3.steamusercontent.com/ugc/2448349581367136219/F80229F9B5BDF7C8C4AB4DA15435FADFE4166303/,https://steamusercontent-a.akamaihd.net/ugc/15580039741952439474/EC914819B18763CC8BF9043EB810BA41E202957B/
Primary,Supply Drop,http://cloud-3.steamusercontent.com/ugc/2448349581367137605/B816B2C97D091BEE32A727DBD1C8932B2C7D83B7/,https://steamusercontent-a.akamaihd.net/ugc/14135435845873047318/44B34F9FE8A3C44111AD9CD64CD8411DDE391FF8/
Primary,Take And Hold,http://cloud-3.steamusercontent.com/ugc/2448349581367139196/E392FE9C859CB947CA150634D65747F963D28D47/,https://steamusercontent-a.akamaihd.net/ugc/16639253551370182140/D411B9B356DF3353A0FC64CAAF9BC7F74442D64D/
Primary,Terraform,http://cloud-3.steamusercontent.com/ugc/2448349581367140726/B5B265F95F774E0A39D4B04C9A7E9B81DD78C09B/,https://steamusercontent-a.akamaihd.net/ugc/14291210713567780903/0C51EF11C7FDF7B488B8ECFF2963F37C7A90C33D/
Primary,The Ritual,http://cloud-3.steamusercontent.com/ugc/2448349581367142144/9EA90ACB7635C71D08830A6A840E72A01BBEAA6E/,https://steamusercontent-a.akamaihd.net/ugc/13651956500254414952/58EA4907765FE43D062309AB41E0B4E01D8E60D9/
Primary,Unexploded Ordnance,http://cloud-3.steamusercontent.com/ugc/2448349581367143547/F2C6D4C6DB6FD0F25A43EE674CC8C48B227333FC/,https://steamusercontent-a.akamaihd.net/ugc/16072122049852277708/B6DE148C68449C0259F8539E39CE37DAD54CD63B/
Secondary (Fixed),Assassination,http://cloud-3.steamusercontent.com/ugc/2448349581367061619/965BA7C93EF5607D12CB9FBCC6BF6513A2674856/,https://steamusercontent-a.akamaihd.net/ugc/12408401663344786750/E1D3F8B191D7549DE5A1BA3319E0BBFE0CF8C2C6/
Secondary (Fixed),Behind Enemy Lines,http://cloud-3.steamusercontent.com/ugc/2448349581367063258/57DDAD41771B883E4CF7D4902A7CBAC1D3494F18/,https://steamusercontent-a.akamaihd.net/ugc/18115656587386942308/445C6F02DA57F561F9C59D41367BD5B7F40F62D2/
Secondary (Fixed),Bring It Down,http://cloud-3.steamusercontent.com/ugc/2448349581367064846/B0D113B117A226E6FF68FA78A7852517889E7BCD/,https://steamusercontent-a.akamaihd.net/ugc/16963166847872497226/520564426E6CDB1B9555B8C647A275F414696B49/
Secondary (Fixed),Cleanse,http://cloud-3.steamusercontent.com/ugc/2448349581367066264/864C37322C115C8D259AA4748F34B73E031FB67C/,https://steamusercontent-a.akamaihd.net/ugc/16042284763893236840/230FE194B12A33BB38E3C2BB18B3B0925802D2B1/
Secondary (Fixed),Cull The Horde,http://cloud-3.steamusercontent.com/ugc/2448349581367070442/BDFACA3289F0172F700B107BC617241F42B4136E/,https://steamusercontent-a.akamaihd.net/ugc/9397423987122148769/01A4EF86228A8AE41FEBA919D7302451711EA242/
Secondary (Fixed),Engage On All Fronts,http://cloud-3.steamusercontent.com/ugc/2448349581367074114/1D472FB7BC3CF30727D812AD3E324B0C0FF0F0F9/,https://steamusercontent-a.akamaihd.net/ugc/11478372932804078534/A9D22247749623FE40A78E5DF0A150786E92CCE0/
Secondary (Fixed),Establish Locus,http://cloud-3.steamusercontent.com/ugc/2448349581367076037/9A30D9D36A6C569E5CD1D25BF26952F99D196392/,https://steamusercontent-a.akamaihd.net/ugc/17319668561515365144/C09BE57EDA6F13CD3399FE68E0BA4CC5FEB55A3F/
Secondary (Fixed),Storm Hostile Objective,http://cloud-3.steamusercontent.com/ugc/2448349581367111894/3DDFB6A30D053F8DD39C680F4410D573EA204071/,https://steamusercontent-a.akamaihd.net/ugc/9699747392685215137/4F08EBFEAB7913A819848AB59EDF02ED9D46AC96/
Secondary (Tactical),A Tempting Target,http://cloud-3.steamusercontent.com/ugc/2448349581367068711/E51310306FDD40ED159A237680D63EEC4DF34257/,https://steamusercontent-a.akamaihd.net/ugc/10376215475773939083/0F74B2A87647D7D75DC64B24097E5767D9F31666/
Secondary (Tactical),Area Denial,http://cloud-3.steamusercontent.com/ugc/2448349581367059892/582C21319191ADCC33206FE4D97DB5ACD16F1F19/,https://steamusercontent-a.akamaihd.net/ugc/14438391282145051228/5559513E09C9B3BCC097ADED91C11574691D2A32/
Secondary (Tactical),Defend Stronghold,http://cloud-3.steamusercontent.com/ugc/2448349581367072453/C96B8846EF37355C46FEDEAF2788FA517F1960E4/,https://steamusercontent-a.akamaihd.net/ugc/9679163681827068080/1291BB3622EA4A00AFCC41A6602B597F2EE19C18/
Secondary (Tactical),Display Of Might,,https://steamusercontent-a.akamaihd.net/ugc/14687090500853111990/2FFC1DA1DD3B000C1E7DB1BB5FEB4FA6F0154057/
Secondary (Tactical),Extend Battle Lines,http://cloud-3.steamusercontent.com/ugc/2448349581367078508/057EE32252FDBC1B449A0A48C6A28CBC0C0BCA49/,https://steamusercontent-a.akamaihd.net/ugc/15804317619141117136/B59713C9805B458E4D2A2DF0275F00EB4ECFE183/
Secondary (Tactical),Marked For Death,http://cloud-3.steamusercontent.com/ugc/2448349581367081226/9A90F798408793D16F378EF5A52FD38C4E3A1C2F/,https://steamusercontent-a.akamaihd.net/ugc/13331213711534777578/7DEAFDCA97248D7B2BCAB1014A846D8D1B7A0D9E/
Secondary (Tactical),No Prisoners,http://cloud-3.steamusercontent.com/ugc/2448349581367082542/472DE84B4FBFFC300DBA6E88C5217CC3398D2DE5/,https://steamusercontent-a.akamaihd.net/ugc/16854942453015063620/62EE64CF1DBBF9728CAA22EFE396AECA8F4DE58E/
Secondary (Tactical),Overwhelming Force,http://cloud-3.steamusercontent.com/ugc/2448349581367084556/BF622A44D49F2128B535184D54E6BA530F3C529A/,https://steamusercontent-a.akamaihd.net/ugc/9737026381923707981/76EE2F3DB04B37C3DE1484DECE6653E87EAB50BF/
Secondary (Tactical),Recover Assets,http://cloud-3.steamusercontent.com/ugc/2448349581367086176/561E2C980E95DCA6DCE8BB638FF335E37AAC1AA1/,https://steamusercontent-a.akamaihd.net/ugc/18319401032101152713/463C110F8FF45591DD9CE6418084FC80F8B5E800/
Secondary (Tactical),Sabotage,http://cloud-3.steamusercontent.com/ugc/2448349581367088063/7D29D1ADF51D62BEA1B71BEABB88061974242175/,https://steamusercontent-a.akamaihd.net/ugc/12312926078850000352/E8CF00412C0B3F6159578CBCF0605E3D2678F1A6/
Secondary (Tactical),Secure No Man's Land,http://cloud-3.steamusercontent.com/ugc/2448349581367090697/E1698C50256DB185D9EA0D328745B0DFFDE0C99F/,https://steamusercontent-a.akamaihd.net/ugc/9703423743288892679/409BCE0DEFDB480FCCA5BD997DF7766E393EAB13/
Card back,Secondary,https://steamusercontent-a.akamaihd.net/ugc/2023851528273908711/C00475F4DBF485583D03A537DDEB78222DA9E782/,https://steamusercontent-a.akamaihd.net/ugc/17801021975631056595/BCFAF42935766E2E8990738EECB161793D5566D3/
Card back,Deployment,https://steamusercontent-a.akamaihd.net/ugc/2047496435699547467/AF33B45E180B40143DF89FF2362C3B5B6D68A5D7/,https://steamusercontent-a.akamaihd.net/ugc/17825192479290558507/1F377D01BFDA7E50E39B0DB70126E8F8BF596C63/
Card back,Primary,https://steamusercontent-a.akamaihd.net/ugc/2047496435699590202/6E8F08A2EEB29D55344278DAFE346411739E973E/,https://steamusercontent-a.akamaihd.net/ugc/17866002263556473400/9780BDC761912293B7D3AFE0C0E3681240630523/
Card back,Challenger,https://steamusercontent-a.akamaihd.net/ugc/2047496435698547067/A4317B8F079D2EE3165AAA530E94688A9E306AC0/,https://steamusercontent-a.akamaihd.net/ugc/11734422782434377163/2DD12810FC15538F0A219C71B5B3B1C4A1E56EBC/
